ID,Player,Team,Location,Position,Salary,Age,GamesPlayed,Minutes,PointsPerGame,FGMade,FGAttempted,ThreesMade,ThreesAttempted,FTMade,FTAttempted,OffRebound,DefRebound,Rebounds,Assists,Steals,Blocks,TurnOvers,Efficiency,Fouls
98,Darius Bazley,OKC,Oklahoma City Thunder,Small Forward,2284800,20,48,35.8,4.2,6,14.6,2.7,7,2.9,3.5,0.4,3.4,3.8,6.6,1.9,0.3,2.3,18.7,0.9
99,Darius Garland,CLE,Cleveland Cavaliers,Point Guard,6400920,20,55,31.4,10.8,5.9,13.6,2.4,5.9,3.1,3.8,1,4.1,5.1,1.4,0.8,0.5,1.6,15.1,1.3
100,Daryl Macon,MIA,Miami Heat,,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,David Nwaba,BKN,Brooklyn Nets,Shooting Guard,1678854,27,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
102,Davis Bertans,WAS,Washington Wizards,Small Forward,7000000,27,45,33.4,13.6,6.8,13.5,1.6,4.2,2.1,2.5,1,5.5,6.5,4.1,0.8,0.4,1.8,20.3,2.6
103,De'Aaron Fox,SAC,Sacramento Kings,Point Guard,6392760,22,54,28,18.2,6.1,13,2.5,6.3,2.3,3.1,1,3.7,4.7,1.4,0.7,1.6,1.7,15.9,3
104,Dean Wade,CLE,Cleveland Cavaliers,,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Deandre Ayton,PHX,Phoenix Suns,Center,9562920,21,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
106,DeAndre' Bembry,ATL,Atlanta Hawks,Shooting Guard,2603982,25,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3
107,De'Andre Hunter,ATL,Atlanta Hawks,Small Forward,7068360,22,54,35.8,12.2,6.7,11.4,0,0.1,3.3,5.3,2,5.8,7.8,8.2,2.1,0.6,3.6,25.2,2.6
108,DeAndre Jordan,BKN,Brooklyn Nets,Center,9881598,31,48,30.7,7.8,6,13.7,1.3,4.1,3,3.4,0.8,3.9,4.7,7.1,0.7,0.2,2.4,18.6,2.1
109,De'Anthony Melton,MEM,Memphis Grizzlies,Shooting Guard,1416852,22,61,31.3,5.4,6.9,11.1,0.1,0.1,2.5,3.7,4,10.2,14.2,1.2,0.4,3.1,1.9,27.9,1.4
